Drawing-Add Area Tag,,,,,,,,,,
Date,User,Path,File,Layer,Type,Points,Anno Style,Area,Dec Places,Succeeded
2018-07-26_09:30:36.72,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1398.4518568137198, 3885.2919899145022, 0.0), (1336.6393568137203, 3885.2919899145022, 0.0), (1336.6393568137203, 3808.7919899144995, 0.0), (1398.4518568137198, 3808.7919899144995, 0.0), (1398.4518568137198, 3885.2919899145022, 0.0)]",PCPA_10,32.83789062500076,0,True
2018-07-26_09:30:36.92,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1918.8271140917759, 3808.7919899144995, 0.0), (1918.8271140917759, 3885.2919899145022, 0.0), (1894.8268568137219, 3885.2919899145022, 0.0), (1894.8268568137219, 3856.0644381664893, 0.0), (1894.8268568137219, 3808.7919899144995, 0.0), (1918.8271140917759, 3808.7919899144995, 0.0)]",PCPA_10,12.750136678966639,0,True
2018-07-26_09:30:37.5,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2084.6349145838076, 3328.0419899145318, 0.0), (2084.6349145838076, 3304.4794899145327, 0.0), (2084.8224145838089, 3304.4794899145327, 0.0), (2122.8224145838094, 3304.4794899145327, 0.0), (2157.4482676105622, 3304.4794899145327, 0.0), (2157.6357676105617, 3304.4794899145327, 0.0), (2157.6357676105617, 3328.0419899145318, 0.0), (2122.8224145838094, 3328.0419899145318, 0.0), (2084.8224145838089, 3328.0419899145318, 0.0), (2084.6349145838076, 3328.0419899145318, 0.0)]",PCPA_10,11.945018051686189,0,True
2018-07-26_09:30:37.17,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2157.6357676105617, 3406.0419899145154, 0.0), (2157.6357676105617, 3423.9200886792687, 0.0), (2122.8224145838094, 3423.9200886792687, 0.0), (2084.8224145838089, 3423.9200886792687, 0.0), (2084.6349145838076, 3423.9200886792687, 0.0), (2084.6349145838076, 3420.4668242744738, 0.0), (2084.6349145838076, 3406.0419899145154, 0.0), (2084.8224145838089, 3406.0419899145154, 0.0), (2122.6349145838094, 3406.0419899145154, 0.0), (2122.8224145838094, 3406.0419899145154, 0.0), (2157.4482676105622, 3406.0419899145154, 0.0), (2157.6357676105617, 3406.0419899145154, 0.0)]",PCPA_10,9.0633087522471527,0,True
2018-07-26_09:30:37.30,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2084.6349145838076, 3448.0419899145131, 0.0), (2084.6349145838076, 3424.4794899145136, 0.0), (2084.8224145838089, 3424.4794899145136, 0.0), (2122.6349145838094, 3424.4794899145136, 0.0), (2122.8224145838094, 3424.4794899145136, 0.0), (2157.6357676105617, 3424.4794899145136, 0.0), (2157.6357676105617, 3448.0419899145131, 0.0), (2122.8224145838094, 3448.0419899145131, 0.0), (2084.8224145838089, 3448.0419899145131, 0.0), (2084.6349145838076, 3448.0419899145131, 0.0)]",PCPA_10,11.945018051686525,0,True
2018-07-26_09:30:37.42,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2084.6349145838076, 3543.9200886792501, 0.0), (2084.6349145838076, 3526.0419899144968, 0.0), (2084.8224145838089, 3526.0419899144968, 0.0), (2085.9484724315644, 3526.0419899144968, 0.0), (2122.6349145838089, 3526.0419899144968, 0.0), (2122.8224145838094, 3526.0419899144968, 0.0), (2157.4482676105622, 3526.0419899144968, 0.0), (2157.6357676105617, 3526.0419899144968, 0.0), (2157.6357676105617, 3543.9200886792501, 0.0), (2122.8224145838094, 3543.9200886792501, 0.0), (2084.8224145838089, 3543.9200886792501, 0.0), (2084.6349145838076, 3543.9200886792501, 0.0)]",PCPA_10,9.0633087522467921,0,True
2018-07-26_09:30:37.58,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2157.6357676105617, 3544.4794899144999, 0.0), (2157.6357676105617, 3568.0419899144995, 0.0), (2122.8224145838094, 3568.0419899144995, 0.0), (2084.8224145838089, 3568.0419899144995, 0.0), (2084.6349145838076, 3568.0419899144995, 0.0), (2084.6349145838076, 3544.9232853864783, 0.0), (2084.6349145838076, 3544.4794899144999, 0.0), (2084.8224145838089, 3544.4794899144999, 0.0), (2122.6349145838094, 3544.4794899144999, 0.0), (2122.8224145838094, 3544.4794899144999, 0.0), (2157.6357676105617, 3544.4794899144999, 0.0)]",PCPA_10,11.945018051686285,0,True
2018-07-26_09:30:37.70,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2084.6349145838076, 3663.9200886792364, 0.0), (2084.6349145838076, 3646.0419899144831, 0.0), (2084.8224145838089, 3646.0419899144831, 0.0), (2122.6349145838094, 3646.0419899144831, 0.0), (2122.8224145838094, 3646.0419899144831, 0.0), (2157.4482676105622, 3646.0419899144831, 0.0), (2157.6357676105617, 3646.0419899144831, 0.0), (2157.6357676105617, 3663.9200886792364, 0.0), (2122.8224145838094, 3663.9200886792364, 0.0), (2084.8224145838089, 3663.9200886792364, 0.0), (2084.6349145838076, 3663.9200886792364, 0.0)]",PCPA_10,9.0633087522467992,0,True
2018-07-26_09:30:37.88,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2157.6357676105617, 3664.4794899145004, 0.0), (2157.6357676105617, 3688.0419899144995, 0.0), (2122.8224145838094, 3688.0419899144995, 0.0), (2084.8224145838089, 3688.0419899144995, 0.0), (2084.6349145838076, 3688.0419899144995, 0.0), (2084.6349145838076, 3669.3797464984827, 0.0), (2084.6349145838076, 3664.4794899145004, 0.0), (2084.8224145838089, 3664.4794899145004, 0.0), (2122.6349145838094, 3664.4794899145004, 0.0), (2122.8224145838094, 3664.4794899145004, 0.0), (2157.6357676105617, 3664.4794899145004, 0.0)]",PCPA_10,11.945018051686109,0,True
2018-07-26_09:30:38.10,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1956.6349150336812, 3328.0419899145318, 0.0), (1956.6349150336812, 3304.4794899145327, 0.0), (1956.8224150336825, 3304.4794899145327, 0.0), (1994.6349150336821, 3304.4794899145327, 0.0), (1994.8224150336814, 3304.4794899145327, 0.0), (2032.6349150336816, 3304.4794899145327, 0.0), (2032.8224150336823, 3304.4794899145327, 0.0), (2068.6349145838076, 3304.4794899145327, 0.0), (2068.6349145838076, 3328.0419899145318, 0.0), (2032.8224150336823, 3328.0419899145318, 0.0), (1994.8224150336814, 3328.0419899145318, 0.0), (1956.8224150336825, 3328.0419899145318, 0.0), (1956.6349150336812, 3328.0419899145318, 0.0)]",PCPA_10,18.32638881527577,0,True
